Targets,Sample Size,Set Size,Set Size + Idiosyncratic,Frequency (K&F),Concreteness(Scale 1-7),Homograph? (Letter=Yes),Part of Speech,Mean Connectivity,Connectivity Strength,Resonance Probability,Resonance Strength,Accessibility Index,Non-Responses,Ending Stem Set Size  ,Ending Stem Strength,Beginning Stem Set Size,Beginning Stem Strength,Ending Fragment Cue,Ending Fragment Set size,Ending Fragment Strength,Beginning Fragment Cue,Beginning Cue Set Size,Beginning Cue Strength
AREA,148,21,53,323,3.68,,N,1.47,2.970,0.32,1.250,35,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ARENA,146,20,43,7,missing,,N,2.33,3.220,0.07,1.050,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ARGUE,148,10,37,29,3.23,,V,1.40,3.050,0.50,2.160,16,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ARGUMENT,148,11,37,63,3.80,,N,1.40,2.610,0.50,1.590,16,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ARIGHT,152,10,24,0,missing,,AD,1.50,3.620,0.00,1.000,0,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ARITHMETIC,144,6,18,8,3.85,,N,2.00,2.850,0.17,1.050,1,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ARM,168,6,22,94,5.53,N,N,1.00,1.670,0.80,2.000,43,0.01,7,0.01,missing,missing,,missing,missing,,missing,missing
ARMOR,140,13,29,4,5.09,,N,0.92,2.100,0.31,1.760,5,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ARMS,144,11,25,121,missing,P,N,missing,missing,missing,missing,11,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ARMY,148,12,33,132,6.53,,N,1.67,1.830,0.42,2.290,59,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AROMA,143,10,17,3,4.93,,N,1.70,3.790,0.30,1.060,8,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AROUND,143,16,48,561,2.46,,AD,1.00,3.870,0.07,1.160,22,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ARREST,154,10,38,19,missing,,V,3.50,3.160,0.25,1.090,8,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ARRIVE,151,12,35,24,missing,,V,1.00,3.470,0.30,1.180,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ARROGANT,153,22,49,2,missing,,AJ,3.62,4.830,0.38,1.300,12,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ARROW,132,9,23,14,7.00,,N,0.67,1.400,0.33,1.570,12,0.03,9,0.09,missing,missing,,missing,missing,,missing,missing
ART,150,17,44,208,4.36,,N,1.31,2.180,0.50,2.040,52,0.02,12,0.01,missing,missing,,missing,missing,,missing,missing
ARTERY,139,8,16,46,6.28,,N,1.25,2.650,0.13,1.330,1,0.01,33,0.00,missing,missing,,missing,missing,,missing,missing
ARTICLE,148,13,24,68,5.82,P,N,1.92,4.710,0.23,1.280,8,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ARTIST,197,12,36,57,5.65,,N,1.82,2.730,0.73,1.400,21,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ARTS,145,19,42,66,4.31,,N,1.39,2.200,0.11,1.130,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ASCEND,149,15,35,1,missing,,V,2.46,4.250,0.23,1.120,3,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
ASCENT,145,14,26,1,3.13,,N,2.07,4.250,0.07,1.080,1,0.30,missing,missing,missing,missing,,missing,missing,,missing,missing
ASH,153,12,24,11,5.33,,N,1.18,3.910,0.36,1.200,7,0.00,18,0.00,missing,missing,,missing,missing,,missing,missing
ASHAMED,141,13,45,16,3.21,,AJ,1.46,2.530,0.08,1.040,1,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ASHES,174,12,19,6,missing,,N,1.40,4.240,0.00,1.000,2,0.19,20,0.00,missing,missing,,missing,missing,,missing,missing
ASHTRAY,127,8,13,1,6.56,,N,1.00,2.280,0.13,1.250,3,0.01,26,0.00,missing,missing,,missing,missing,,missing,missing
ASIA,152,19,48,44,missing,,N,1.88,3.210,0.29,1.390,6,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ASK,147,17,38,128,2.48,,V,1.19,3.740,0.31,1.700,25,0.04,5,0.01,missing,missing,,missing,missing,A--,11,0.01
ASLEEP,140,15,29,27,missing,,AJ,2.86,6.330,0.21,1.780,8,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ASPHALT,142,18,34,3,5.79,,N,2.59,4.630,0.24,1.110,4,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
ASPIRIN,132,10,27,3,5.70,,N,2.60,2.920,0.80,1.910,11,0.00,18,0.00,missing,missing,,missing,missing,,missing,missing
ASS,152,13,35,5,6.03,,N,1.00,1.780,0.23,1.730,10,0.03,16,0.02,missing,missing,,missing,missing,A--,11,0.09
ASSAULT,154,18,43,15,missing,,V,3.20,4.090,0.20,1.060,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ASSIGNMENT,146,13,28,62,missing,,N,3.00,4.460,0.23,1.040,5,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ASSIST,183,3,15,26,3.38,,V,1.00,1.410,0.33,1.020,3,0.02,16,0.00,missing,missing,,missing,missing,,missing,missing
ASSISTANCE,148,6,26,87,missing,,N,1.00,1.740,0.00,1.000,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ASSISTANT,145,11,25,36,missing,,N,1.40,2.180,0.30,1.310,7,0.00,11,0.00,missing,missing,,missing,missing,,missing,missing
ASSOCIATE,139,24,48,21,missing,,V,missing,missing,missing,missing,4,0.00,25,0.00,missing,missing,,missing,missing,,missing,missing
ASSUME,152,23,56,63,missing,,V,1.15,2.920,0.10,1.540,5,0.09,17,0.01,missing,missing,,missing,missing,,missing,missing
ASTEROID,149,13,30,1,missing,,N,2.30,2.350,0.10,1.050,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ASTROLOGY,145,9,29,0,3.48,,V,1.75,2.060,0.38,1.140,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ASTRONAUT,154,11,26,2,missing,,N,1.75,1.910,0.38,1.060,3,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ASTRONOMY,146,7,18,24,3.84,,N,2.14,2.330,0.57,1.080,8,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ASYLUM,79,8,27,1,4.22,,N,missing,missing,missing,missing,1,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
ATHLETE,146,18,48,9,missing,,N,1.82,2.530,0.24,1.270,16,0.01,17,0.00,missing,missing,,missing,missing,,missing,missing
ATHLETIC,147,20,51,18,missing,,AJ,2.05,3.050,0.05,1.010,8,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ATLAS,148,10,17,12,5.74,,N,1.56,2.780,0.33,1.070,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ATMOSPHERE,148,14,42,79,3.76,,N,2.23,3.290,0.31,1.110,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ATOM,152,12,23,37,4.77,,N,2.50,3.110,0.50,2.070,14,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ATOMIC,152,12,29,46,missing,,AJ,1.20,2.310,0.10,1.100,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTACH,150,20,59,14,missing,,V,1.71,3.680,0.18,1.160,9,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTACK,148,20,37,105,3.87,,V,2.70,4.890,0.20,1.300,23,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTEMPT,195,8,34,95,2.92,,V,0.75,1.030,0.13,1.130,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTEND,180,21,43,54,3.20,,V,1.80,3.600,0.05,1.030,1,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTENDANCE,147,19,44,12,missing,,N,missing,missing,missing,missing,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTENTION,197,29,96,179,2.50,,N,0.59,1.490,0.15,1.100,16,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTIC,151,21,44,16,missing,,N,1.32,2.270,0.21,1.230,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTIRE,152,6,17,6,missing,,N,2.17,2.240,0.50,1.050,4,0.01,11,0.01,missing,missing,,missing,missing,,missing,missing
ATTITUDE,148,19,43,107,1.83,,N,2.00,3.760,0.29,1.240,13,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTORNEY,152,12,31,65,missing,,N,1.67,2.680,0.08,1.100,5,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTRACT,148,26,66,19,missing,,V,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ATTRACTIVE,154,16,32,39,missing,,AJ,3.69,5.970,0.23,1.070,8,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
AUDIENCE,153,19,47,115,missing,,N,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AUNT,130,3,10,22,5.79,,N,1.33,1.080,1.00,1.920,8,0.10,11,0.03,missing,missing,,missing,missing,,missing,missing
AURA,142,18,63,1,2.25,,N,1.12,2.860,0.06,1.020,2,0.14,missing,missing,missing,missing,,missing,missing,,missing,missing
AUTHOR,148,8,12,46,6.04,,N,2.25,3.110,0.50,1.360,7,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AUTHORITY,142,18,52,93,2.62,,N,1.11,3.730,0.39,1.150,29,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AUTO,148,7,17,22,6.87,,N,1.50,3.490,0.50,1.200,13,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
AUTOMOBILE,148,8,30,50,7.00,,N,1.71,3.650,0.00,1.000,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AUTUMN,154,9,13,22,3.50,,N,1.89,3.220,0.33,1.180,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AVARICE,79,4,13,2,3.16,,N,missing,missing,missing,missing,1,0.49,missing,missing,missing,missing,,missing,missing,,missing,missing
AVENUE,152,4,18,46,6.48,,N,1.00,2.180,0.75,1.260,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
AVERAGE,152,19,49,130,2.35,G,N,1.72,2.100,0.61,1.670,20,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
AVOID,147,17,55,58,2.68,,V,2.00,2.240,0.13,1.150,8,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
AWAKE,144,9,15,20,4.40,,V,1.11,2.150,0.67,1.810,16,0.06,20,0.05,missing,missing,,missing,missing,,missing,missing
AWARD,145,24,49,46,4.58,,V,missing,missing,missing,missing,16,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
AWARE,146,18,42,84,missing,,AJ,1.47,3.630,0.35,1.530,12,0.03,25,0.00,missing,missing,,missing,missing,,missing,missing
AWARENESS,196,17,60,32,2.61,,N,1.00,2.570,0.00,1.000,2,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
AWAY,148,17,31,456,2.53,,AD,2.44,5.680,0.38,1.290,57,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AWE,151,20,60,5,missing,,N,missing,missing,missing,missing,6,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
AWESOME,132,13,40,4,missing,,AJ,missing,missing,missing,missing,13,0.02,18,0.00,missing,missing,,missing,missing,,missing,missing
AWFUL,132,11,34,17,2.28,,AJ,2.91,5.120,0.46,1.310,13,0.01,9,0.00,missing,missing,,missing,missing,,missing,missing
AWKWARD,152,16,59,11,3.25,,AJ,1.13,2.020,0.13,1.080,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
AX,152,18,41,6,6.65,G,N,2.61,4.990,0.06,1.520,6,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
AXON,150,14,44,0,missing,,N,missing,missing,missing,missing,1,0.17,missing,missing,missing,missing,,missing,missing,,missing,missing
BABY,156,19,45,62,5.77,,N,2.05,5.090,0.63,4.240,89,0.00,2,0.62,missing,missing,,missing,missing,BA--,13,0.02
BACK,148,12,28,967,4.89,,N,1.25,1.990,0.50,2.470,47,0.01,25,0.17,14,0.07,-ACK,8,0.19,,missing,missing
BACKBONE,147,14,55,4,missing,,N,missing,missing,missing,missing,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BACKGROUND,153,20,53,67,4.10,,N,missing,missing,missing,missing,3,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
BACKPACK,139,12,27,1,missing,,N,1.82,2.260,0.27,1.490,10,0.00,25,0.00,14,0.00,,missing,missing,,missing,missing
BACKWARD,148,7,28,22,missing,,AD,1.50,2.800,0.17,1.500,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BACON,116,10,22,10,6.46,,N,2.30,2.620,0.50,1.270,13,0.00,8,0.45,missing,missing,,missing,missing,BA---,26,0.03
BACTERIA,142,19,43,8,6.38,,N,2.50,5.610,0.22,1.260,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BAD,184,9,21,142,3.00,,AJ,0.33,2.330,0.56,1.990,229,0.05,15,0.20,14,0.27,-AD,8,0.15,B--,21,0.02
BADGE,152,14,37,5,5.49,,N,1.38,3.250,0.31,1.110,6,0.02,missing,missing,missing,missing,,missing,missing,BAD--,2,0.27
BAG,127,17,27,42,6.30,,N,1.06,2.700,0.50,1.680,36,0.01,18,0.09,14,0.16,-AG,10,0.15,B--,21,0.03
BAGEL,150,12,37,0,missing,,N,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,---EL,17,0.01,BA---,26,0.01
BAGGAGE,147,10,32,4,missing,,N,2.20,3.730,0.30,1.180,4,0.00,missing,missing,missing,missing,----AGE,25,0.01,,missing,missing
BAIT,151,8,18,2,missing,,N,1.14,1.800,0.29,1.100,5,0.01,25,0.12,missing,missing,-AIT,3,0.59,BA--,16,0.06
BAKE,127,10,15,12,4.76,,V,2.00,2.430,0.70,1.650,16,0.00,20,0.14,missing,missing,-AKE,9,0.10,BA--,13,0.56
BAKED,146,14,28,8,4.35,,V,1.15,2.090,0.23,1.280,8,0.00,missing,missing,missing,missing,,missing,missing,BA---,26,0.01
BAKER,148,14,31,36,missing,,N,missing,missing,missing,missing,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
BALANCE,140,13,44,32,missing,,N,missing,missing,missing,missing,11,0.03,missing,missing,missing,missing,---ANCE,7,0.14,,missing,missing
BALCONY,150,18,61,5,missing,,N,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BALD,99,10,24,5,5.15,,AJ,1.00,1.870,0.22,1.150,4,0.05,missing,missing,9,0.02,,missing,missing,BA--,13,0.10
BALL,184,17,52,110,6.08,N,N,1.76,3.130,0.65,2.860,84,0.04,15,0.24,9,0.73,-ALL,7,0.18,BA--,13,0.09
BALLERINA,146,14,34,1,missing,,N,1.50,2.660,0.33,1.220,6,0.01,missing,missing,14,0.00,,missing,missing,,missing,missing
BALLET,145,17,31,45,5.23,,N,2.00,2.780,0.36,1.550,9,0.07,missing,missing,14,0.00,,missing,missing,,missing,missing
BALLOON,148,21,32,10,6.10,,N,1.10,2.990,0.10,1.570,7,0.01,22,0.01,missing,missing,,missing,missing,,missing,missing
BALLOT,139,7,17,12,6.29,,N,0.71,1.640,0.14,1.050,1,0.14,missing,missing,14,0.00,,missing,missing,,missing,missing
BALSAM,79,11,19,1,4.10,,N,missing,missing,missing,missing,0,0.15,missing,missing,missing,missing,,missing,missing,,missing,missing
BAN,154,19,56,7,missing,G,V,missing,missing,missing,missing,3,0.05,14,0.05,missing,missing,-AN,9,0.08,,missing,missing
BANANA,144,13,29,4,6.29,,N,1.31,3.250,0.77,1.510,13,0.01,missing,missing,missing,missing,,missing,missing,BAN---,10,0.15
BAND,146,14,37,53,5.83,P,N,2.08,3.230,0.46,1.280,37,0.07,13,0.16,missing,missing,,missing,missing,BA--,13,0.01
BANDAGE,154,14,26,4,6.35,,N,3.25,5.440,0.33,1.430,6,0.01,missing,missing,missing,missing,----AGE,25,0.05,,missing,missing
BANDAID,140,14,30,0,missing,,N,3.75,4.350,0.17,1.130,8,0.00,23,0.01,missing,missing,,missing,missing,,missing,missing
BANDANNA,152,18,41,0,missing,,N,1.50,3.150,0.06,1.050,0,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
BANDIT,144,17,47,3,missing,,N,missing,missing,missing,missing,4,0.04,13,0.00,14,0.00,,missing,missing,BAN---,10,0.05
BANG,145,17,34,7,4.20,G,N,1.57,2.900,0.57,1.380,17,0.00,12,0.09,14,0.01,,missing,missing,,missing,missing
BANJO,146,14,26,2,6.33,,N,2.27,2.840,0.18,1.050,2,0.05,missing,missing,14,0.00,,missing,missing,BA---,26,0.01
BANK,144,6,15,83,5.69,N,N,0.67,1.950,1.00,2.580,37,0.01,21,0.05,missing,missing,-ANK,5,0.25,BA--,13,0.01
BANKER,150,9,29,5,6.38,,N,1.29,2.870,0.14,1.010,1,0.02,missing,missing,missing,missing,---KER,25,0.07,BAN---,10,0.12
BANNER,99,6,20,8,5.80,,N,0.20,0.870,0.00,1.000,1,0.01,missing,missing,missing,missing,--NNER,8,0.19,BAN---,10,0.27
BANQUET,99,9,24,6,5.29,,N,2.00,3.500,0.11,1.030,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
BAPTIST,153,12,34,17,missing,,N,4.42,6.430,0.33,1.150,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BAR,145,13,32,82,6.40,N,N,2.23,4.260,0.46,1.460,46,0.00,10,0.25,missing,missing,-AR,8,0.23,B--,21,0.01
BARBECUE,150,13,32,13,missing,,N,2.00,2.620,0.39,1.890,11,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
BARGAIN,126,16,32,7,2.71,,N,2.86,4.130,0.29,1.220,9,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
BARK,144,5,19,14,5.51,N,N,0.20,1.120,0.40,1.050,7,0.00,12,0.36,missing,missing,-ARK,7,0.41,,missing,missing
BARLEY,149,18,40,6,missing,,N,2.06,3.820,0.12,1.210,2,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
BARN,127,13,16,29,6.68,,N,1.77,2.830,0.39,1.190,11,0.02,3,0.27,missing,missing,-ARN,5,0.39,BA--,13,0.00
BARRACUDA,99,8,22,0,6.08,,N,0.88,1.170,0.00,1.000,0,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
BARRAGE,79,13,41,5,3.18,,N,missing,missing,missing,missing,0,0.29,missing,missing,missing,missing,----AGE,25,0.00,,missing,missing
BARREL,165,25,36,24,6.10,,N,1.08,3.710,0.08,1.040,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BARRIER,149,14,29,9,5.82,,N,1.31,2.040,0.31,1.220,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BARTENDER,177,11,28,6,missing,,N,3.30,4.850,0.10,1.020,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
BARTER,150,12,42,0,missing,,V,1.36,2.330,0.27,1.090,4,0.13,missing,missing,missing,missing,,missing,missing,,missing,missing
BASE,152,20,51,91,4.34,N,N,0.84,2.750,0.32,1.440,8,0.03,14,0.04,missing,missing,-ASE,4,0.37,BA--,13,0.03
BASEBALL,148,18,31,57,5.75,,N,2.65,4.770,0.77,1.920,50,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
BASEMENT,152,19,54,31,6.83,,N,1.58,2.880,0.26,1.660,10,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
BASHFUL,152,4,25,2,missing,,AJ,0.33,0.900,0.33,1.080,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BASIC,138,20,48,171,missing,,AJ,missing,missing,missing,missing,6,0.01,21,0.00,missing,missing,,missing,missing,,missing,missing
BASKET,143,19,36,17,5.93,G,N,0.53,2.360,0.37,1.710,15,0.04,4,0.78,14,0.01,---KET,11,0.10,,missing,missing
BASKETBALL,140,13,38,9,5.88,,N,2.55,2.820,0.73,1.370,33,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
BASS,147,14,39,16,5.43,C,N,2.15,3.310,0.39,1.600,10,0.03,16,0.14,14,0.03,,missing,missing,BA--,13,0.01
BASSINET,148,5,10,1,6.18,,N,1.20,2.620,0.00,1.000,0,0.36,missing,missing,missing,missing,,missing,missing,,missing,missing
BAT,127,17,27,18,5.60,N,N,1.53,3.150,0.33,1.910,12,0.01,15,0.12,14,0.07,-AT,9,0.16,B--,21,0.10
BATH,165,10,23,26,5.90,,N,2.60,2.770,0.60,1.810,20,0.00,6,0.06,14,0.33,-ATH,4,0.29,BA--,13,0.02
BATHROOM,139,14,30,18,missing,,N,2.00,2.690,0.57,1.870,24,0.04,17,0.00,14,0.00,,missing,missing,,missing,missing
BATHTUB,154,14,32,4,missing,,N,2.77,4.240,0.08,1.040,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BATTERY,154,21,48,18,missing,T,N,0.59,1.400,0.29,1.250,10,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
BATTLE,147,15,31,87,5.16,,N,1.46,2.620,0.31,1.060,15,0.01,6,0.19,missing,missing,-ATTLE,4,0.45,,missing,missing
BAY,149,15,33,57,missing,,N,2.14,3.890,0.14,1.210,7,0.02,26,0.05,missing,missing,,missing,missing,BA-,5,0.07
BE,152,29,49,6377,2.21,,V,missing,missing,missing,missing,13,0.09,32,0.02,missing,missing,,missing,missing,,missing,missing
BEACH,165,16,27,61,6.08,,N,2.25,3.290,0.75,2.890,60,0.01,13,0.24,missing,missing,,missing,missing,,missing,missing
BEAD,203,20,49,1,5.61,T,N,1.40,3.280,0.05,1.020,1,0.15,26,0.00,missing,missing,-E-D,21,0.11,BE--,19,0.02
BEAKER,149,14,35,2,missing,,N,2.85,3.300,0.08,1.050,2,0.05,13,0.44,missing,missing,---KER,25,0.02,,missing,missing
BEAM,143,13,35,21,4.70,N,N,1.00,1.920,0.39,1.680,6,0.03,17,0.20,missing,missing,-E-M,9,0.24,,missing,missing
BEAN,150,19,40,5,6.00,,N,missing,missing,missing,missing,12,0.05,19,0.10,missing,missing,,missing,missing,BE--,19,0.17
BEANS,150,21,39,9,6.00,,N,missing,missing,missing,missing,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
BEAR,200,28,59,57,5.81,N,V,2.08,5.220,0.42,2.630,27,0.02,25,0.08,missing,missing,-EAR,9,0.11,,missing,missing
BEARD,145,13,24,26,5.68,,N,1.17,1.810,0.33,2.090,7,0.03,missing,missing,missing,missing,B---D,15,0.08,,missing,missing
BEAST,165,15,38,7,6.51,,N,1.58,2.120,0.33,1.280,6,0.01,8,0.23,missing,missing,-EAST,4,0.46,,missing,missing
BEAT,178,17,48,68,3.67,G,V,1.25,2.180,0.50,1.740,25,0.02,17,0.22,missing,missing,-E-T,18,0.20,BE--,19,0.14
BEAUTIFUL,144,8,33,127,3.89,,AJ,2.38,2.370,0.63,1.440,61,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
BEAUTY,146,17,51,71,3.31,,N,2.00,2.940,0.29,1.190,31,0.05,6,0.83,5,0.31,,missing,missing,BE----,24,0.03
BEAVER,141,16,36,2,6.50,,N,1.20,2.670,0.20,1.400,6,0.04,missing,missing,missing,missing,,missing,missing,BE----,22,0.04
